round,client_id,accuracy
1,2,0.406
1,3,0.416
1,5,0.41
1,4,0.24
1,7,0.378
1,6,0.378
1,8,0.402
1,9,0.438
1,11,0.396
1,10,0.428
1,12,0.406
1,13,0.412
1,14,0.358
1,16,0.448
1,15,0.428
1,17,0.384
1,18,0.276
1,19,0.37
1,20,0.41
1,21,0.402
2,5,0.542
2,2,0.482
2,3,0.52
2,4,0.298
2,6,0.484
2,7,0.444
2,8,0.428
2,9,0.5
2,10,0.484
2,13,0.5
2,11,0.59
2,12,0.47
2,14,0.454
2,16,0.494
2,15,0.5
2,17,0.532
2,18,0.298
2,21,0.464
2,19,0.478
2,20,0.458
3,4,0.326
3,2,0.658
3,3,0.654
3,5,0.572
3,7,0.434
3,8,0.466
3,9,0.53
3,6,0.49
3,10,0.48
3,12,0.52
3,11,0.56
3,13,0.528
3,14,0.478
3,17,0.51
3,15,0.626
3,16,0.51
3,20,0.518
3,19,0.454
3,21,0.522
3,18,0.312
4,3,0.718
4,5,0.582
4,2,0.63
4,4,0.346
4,9,0.564
4,6,0.564
4,7,0.52
4,8,0.696
4,11,0.724
4,10,0.528
4,12,0.716
4,13,0.544
4,14,0.538
4,15,0.644
4,17,0.676
4,16,0.544
4,18,0.316
4,21,0.564
4,20,0.598
4,19,0.516
5,2,0.688
5,3,0.684
5,5,0.626
5,4,0.334
5,7,0.54
5,8,0.666
5,6,0.69
5,9,0.556
5,10,0.534
5,12,0.708
5,11,0.712
5,13,0.594
5,17,0.776
5,15,0.636
5,16,0.566
5,14,0.7
5,19,0.578
5,18,0.298
5,21,0.664
5,20,0.564
