round,client_id,accuracy
1,3,0.414
1,2,0.438
1,5,0.38
1,4,0.386
1,9,0.38
1,6,0.37
1,8,0.346
1,7,0.358
1,10,0.354
1,11,0.392
1,13,0.384
1,12,0.406
1,14,0.376
1,15,0.36
1,16,0.356
1,17,0.358
1,18,0.394
1,19,0.368
1,20,0.388
1,21,0.322
2,3,0.5
2,4,0.51
2,2,0.506
2,5,0.564
2,6,0.472
2,8,0.478
2,7,0.456
2,9,0.522
2,10,0.448
2,12,0.502
2,13,0.474
2,11,0.484
2,16,0.472
2,14,0.562
2,15,0.458
2,17,0.504
2,21,0.436
2,20,0.552
2,18,0.494
2,19,0.546
3,3,0.48
3,2,0.528
3,4,0.672
3,5,0.578
3,6,0.51
3,7,0.544
3,8,0.57
3,9,0.48
3,10,0.508
3,11,0.646
3,13,0.51
3,12,0.66
3,14,0.546
3,15,0.506
3,16,0.486
3,17,0.536
3,18,0.478
3,19,0.532
3,20,0.602
3,21,0.674
4,3,0.564
4,2,0.598
4,4,0.658
4,5,0.572
4,6,0.57
4,9,0.564
4,7,0.7
4,8,0.548
4,11,0.678
4,10,0.682
4,12,0.672
4,13,0.528
4,15,0.628
4,14,0.576
4,17,0.57
4,16,0.562
4,18,0.536
4,19,0.532
4,21,0.656
4,20,0.71
5,2,0.568
5,4,0.662
5,3,0.696
5,5,0.714
5,6,0.58
5,7,0.674
5,9,0.566
5,8,0.574
5,10,0.718
5,11,0.66
5,12,0.706
5,13,0.684
5,14,0.58
5,16,0.566
5,15,0.702
5,17,0.568
5,18,0.696
5,19,0.578
5,20,0.694
5,21,0.65
