round,client_id,accuracy
1,4,0.37
1,3,0.306
1,1,0.39
1,2,0.38
1,8,0.416
1,7,0.406
1,6,0.402
1,5,0.4
1,10,0.432
1,12,0.39
1,9,0.446
1,11,0.442
1,13,0.404
1,15,0.428
1,16,0.38
1,14,0.368
1,17,0.326
1,18,0.424
1,19,0.43
1,20,0.42
2,3,0.36
2,1,0.506
2,4,0.524
2,2,0.5
2,7,0.478
2,6,0.5
2,5,0.528
2,8,0.496
2,9,0.524
2,10,0.558
2,11,0.554
2,12,0.52
2,13,0.512
2,14,0.514
2,15,0.516
2,16,0.528
2,17,0.408
2,18,0.51
2,19,0.504
2,20,0.502
3,2,0.58
3,3,0.422
3,4,0.544
3,1,0.54
3,5,0.546
3,8,0.59
3,7,0.548
3,6,0.508
3,9,0.626
3,10,0.628
3,11,0.612
3,12,0.524
3,13,0.626
3,14,0.606
3,15,0.54
3,16,0.594
3,17,0.41
3,18,0.53
3,19,0.642
3,20,0.638
4,2,0.684
4,4,0.606
4,1,0.59
4,3,0.428
4,7,0.554
4,6,0.614
4,5,0.648
4,8,0.7
4,11,0.69
4,9,0.59
4,10,0.658
4,12,0.564
4,13,0.64
4,15,0.53
4,14,0.624
4,16,0.644
4,18,0.59
4,19,0.706
4,17,0.446
4,20,0.62
5,2,0.718
5,3,0.458
5,4,0.678
5,1,0.628
5,7,0.538
5,5,0.692
5,6,0.654
5,8,0.664
5,9,0.698
5,11,0.724
5,10,0.658
5,12,0.606
5,13,0.666
5,14,0.758
5,15,0.582
5,16,0.662
5,18,0.662
5,17,0.42
5,19,0.732
5,20,0.648
